ARDS,ARDS
Constipation,Constipation
Cystic_Fibrosis,Cystic_Fibrosis
Lung Cancer,Lung_Cancer
Sinusitis Condition,Sinusitis
Type of Alzheimer's,Dementia
allergic_rhinitis,Rhinitis
anemia,anemia
asthma_condition,asthma
atrial_fibrillation,atrial_fibrillation
bacteremia,bacteremia
breast_cancer_condition,breast_cancer
broken_bone,broken_bone
burn_injury,major_burn_injury
cabg_history,coronary_bypass
cardiac_surgery_reason,heart_surgery
chf,congestive_heart_failure
chronic_low_back_pain,chronic_back_pain
chronic_low_back_pain_only,chronic_back_pain
chronic_low_back_pain_with_fibromyalgia,chronic_back_pain
chronic_neck_and_low_back_pain,chronic_back_pain
chronic_neck_pain,chronic_back_pain
chronic_neck_pain_only,chronic_back_pain
colorectal_adenoma,colorectal_adenoma
colorectal_cancer,colorectal_cancer
concussion_injury,major_concussion
copd_variant,copd
covid19,covid_19
covid19_bacterial_infection,covid_19_complications
covid19_clot,covid_19_complications
criminal_record,time_in_prison
dermatitis,dermatitis
diabetes_stage,diabetes
diabetic_neuropathy,diabetic_neuropathy
diabetic_retinopathy_condition,diabetic_retinopathy
metabolic_syndrome,diabetes
dialysis_reason,kidney_disease
fibromyalgia,fibromyalgia
gunshot_wound,gunshot_wound
history_of_bone_marrow_transplant,bone_marrow_transplant_recipient
hiv_diagnosis,HIV
hyperglycemia,hyperglycemia
hyperlipidemia,hyperlipidemia
hypertension_dx,hypertension_dx
hypertriglyceridemia,hypertriglyceridemia
hypothyroidism,hypothyroidism
jaw_injury,jaw_injury
kidney_transplant,kindey_disease
knee_injury,knee_injury
laceration_injury,major_laceration
last_amputation,amputee
macular_edema_condition,macular_edema
mdd,depression
migraine,chronic_migraines
obesity,obesity
opioid_drug_addiction,opioid_addiction
osteoarthritis,osteoarthritis
prostate_cancer,prostate_cancer
ptsd,PTSD
recurrent_colorectal_adenoma,colorectal_adenoma
savrr_history,heart_surgery
seizure,history_of_seizures
sleep_apnea,sleep_apnea
spinal_injury,spinal_injury
stroke_history,stroke_history
tavr_history,heart_surgery
uti,uti
vhd_diagnosis,vhd
